,Course Code,Course Name,Academic Units,Faculty,BDE,Grade Type,Prerequisites,Mutually Exclusive,Course Information
0,BA2201,ACTUARIAL ECONOMICS,4.0 AU,NA,Yes,Letter Graded,AB0901 OR HE9091 OR HE5091,,"The aim of this course is to introduce students major in actuarial science to the core economic principles and how these can be used in a business environment to help decision making and behavior. It provides microeconomic and macroeconomic foundations, both from the point of view of individuals and firms, particularly focusing on topics covered by the IFoA Subject CB2 Business Economics. Actuarial science students who perform well in this seminar will earn exam exemption for Subject CB2."
1,BA2204,MODELS,4.0 AU,NA,Yes,Letter Graded,AB1202,,"This course introduces statistical models that are used to model actuarial, insurance, and finance data. Fundamental principles and techniques of modelling stochastic and life processes are discussed. The aim of the course is to provide students with a set of actuarial tools and techniques that can be applied in a more general setting in life, health, general insurance, and financial areas."
2,BA3205,ACTUARIAL COMPUTING,4.0 AU,NA,Yes,Letter Graded,AB1201 & AB1202,BA2205,"This course is specially designed for actuarial science students who are interested in learning the software tools frequently used by actuaries in the financial industry such as Excel, VBA, SQL and R and understanding how to communicate model and model results to target audiences. The course uses various real-life examples for demonstration in order to give the students firsthand experience of how the actuaries using the software tools in solving the problems faced by them in their day-to-day works. This course is also designed with the aims to meet the new syllabus offered by Institute and Faculty of Actuaries (IFoA), UK and to maintain the accreditation status with IFoA."
3,BA3203,ACTUARIAL ASPECTS OF ASSET VALUATION,4.0 AU,NA,Yes,Letter Graded,BA2204,,The aim of this course is to develop the necessary skills to construct and apply asset liability models and to value financial derivatives. These skills are necessary to communicate with other financial professionals and to critically evaluate modern financial theories.
4,BA3205,ACTUARIAL COMPUTING,4.0 AU,NA,Yes,Letter Graded,AB1201 & AB1202,BA2205,"This course is specially designed for actuarial science students who are interested in learning the software tools frequently used by actuaries in the financial industry such as Excel, VBA, SQL and R and understanding how to communicate model and model results to target audiences. The course uses various real-life examples for demonstration in order to give the students firsthand experience of how the actuaries using the software tools in solving the problems faced by them in their day-to-day works. This course is also designed with the aims to meet the new syllabus offered by Institute and Faculty of Actuaries (IFoA), UK and to maintain the accreditation status with IFoA."
5,BF2100,ETHICS IN THE INVESTMENT PROFESSION,1.0 AU,NA,Yes,Pass/Fail,,,"The fairness and transparency is necessary for financial market to be efficient. This should not only be guaranteed by laws and regulations. Practitioners in the industry should comply necessary ethical foundation to make sure that the financial system is functioning well. Individuals with unethical behaviors damage investor trust and impair the capital markets as a whole. Unethical behaviors also have serious personal consequences on individuals themselves, this may range from job loss and reputational damage to fines and jails. This aim of this course is to train students with the basic understanding of the CFA Ethics code. It seeks to increase students? awareness of business ethics and improve their willingness to comply it. It will help students with their future career and contribute to the society. Moreover, it is also a component of the CFA exams. All NBS students with a Banking and Finance (BAF) specialization must complete a CFA Ethics course prior to graduation."
6,BF2201,INVESTMENTS,4.0 AU,NA,No,Letter Graded,AB1201 OR BU8201 (Min Grade :B+) OR RE8005 OR BU5201 (Min Grade :B+),"BF2219, BU5202, BU9201, BU9202","This is an introductory but demanding course in investments. This course endeavours to provide the basic understanding and tools to conduct portfolio analysis, make investment decisions, and manage portfolios. By the end of this course, students should have a broad understanding of investments and portfolio management. This course covers the analysis of various investment vehicles, allocation of assets, and modern portfolio theory. Students will learn valuation, portfolio construction and evaluation techniques, and apply investment techniques using Excel. Students are expected to review Financial Management. To maximize acquisition of new knowledge, the instructors will not cover overlapping topics with Financial Management, but these topics remain examinable."
7,BF2206,WEALTH MANAGEMENT,4.0 AU,NA,No,Letter Graded,AB1201 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),BF2220,"This course provides an intermediate study on the subject of wealth management and contemporary personal financial management. Students will learn and experience current macroeconomic analysis and its application. The course will touch on more complex wealth management topics such as trusts, estate planning and private banking. By the end of the course, students will be technically competent to put together their own personal financial plan. Students looking to a career in Wealth Management/Private Banking will find the knowledges and frameworks taught to be immediately applicable."
8,BF2207,INTERNATIONAL FINANCE,4.0 AU,NA,No,Letter Graded,AB1201 OR RE8005 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),"BF2204, BU9203",This course is an introduction to international finance. The course serves to equip students with the ability to analyse and make managerial decisions in the context of a multinational firm.
9,BF2209,DERIVATIVE SECURITIES,4.0 AU,NA,No,Letter Graded,BF2201,"BF2221, BR2204, BR2210","This course is an introductory course on financial derivatives and derivatives-linked investments. The derivatives covered include forwards, futures, swaps, and options on different underlying assets like stocks, stock indices, commodities, and foreign exchange. Through this course, students will learn the features of various derivatives and how to price, value (calculate the Profit/Loss) and structure them for investment and risk management. Students will also learn basic and slightly more advance option strategies and how to use them for hedging and trading. They will be able to design arbitrage strategies to take advantage of mispricing in various derivatives. A good understanding of derivatives and its usage/abuses is a prerequisite for effective management of any company as financial risks can cause substantial damage to the P/L of an otherwise well managed firm. Graduates with solid grounding in derivative investments can take up careers as traders, derivatives specialists/advisors, derivatives sales experts, financial engineers and risk managers in treasury departments, trading floors, asset management and risk management divisions in banks and major corporates. On an individual level, understanding of derivatives will help one to appreciate the risk and rewards in the many derivatives-linked investments now increasingly made available to retail investors."
10,BF3201,CORPORATE FINANCE & STRATEGY,4.0 AU,NA,No,Letter Graded,AB1201 OR RE8005 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),BF3215,"The course covers fundamental issues of corporate finance, including corporate governance, capital budgeting, capital structure, distribution policies, and working capital management. The course emphasizes financial practices in the real world. The course expands upon the concepts covered in AB1201 Financial Management. We emphasize using EXCEL to conduct computation. The background knowledge is provided through the textbook and lecture notes. By the end of the course, you should have developed a deeper understanding of how corporate financial managers make decisions in the dynamic corporate world and how these decisions impact firm value and stakeholders. The course is intended for students who are interested in pursuing a career in strategic financial decision making, including corporate finance, investment banking, private equity, consulting, etc."
11,BF3204,FINANCIAL MODELLING,4.0 AU,NA,No,Letter Graded,BF2201,BF3218,"This course reviews, advances, and applies the principles taught in prior introductory courses in finance. It takes a hands-on approach and provides students with ample opportunities to apply numerical and statistical analysis, table and graphical presentations, and database analysis. It exclusively uses MS Excel as a main tool for computing and analysis. After the completion of the course, you should be equipped with a strong foundation of finance and quantitative skills. The course benefits students who wish to become a quantitative financial analyst."
12,BF3207,ALTERNATIVE INVESTMENTS,4.0 AU,NA,No,Letter Graded,BF2201,BF3219,"Alternative investments include a wide variety of assets which include hedge funds, private equity, real estate, and commodities. We will start with a review of relevant subjects, such as statistics and portfolio theory. Afterwards, we will go over the various asset classes, focusing on hedge funds, private equity, and real estate. We will consider investment strategies, management structure, and performance measurement. If time permits, we will also discuss more unconventional assets."
13,BF3901,WEALTH MANAGEMENT INTERNSHIP COURSE,4.0 AU,NA,Yes,Letter Graded,AB1201,,"This course is the capstone course for the AWM Work Study Programme to be taken during the second 20-week internship with DBS, our partner bank for the Applied Wealth Management (AWM) track. It entails students going through one month of training and assessment at DBS at the beginning of the internship to get students ready to be qualified wealth management professionals upon graduation. During the internship, students will also work on a real-world project assigned by DBS. DBS will identify key issues faced by the bank and assign students to work in groups on these issues. The course is intended for final year Applied Wealth Management (AWM) track students who are doing their second 20-week internship with DBS."
14,BF2206,WEALTH MANAGEMENT,4.0 AU,NA,No,Letter Graded,AB1201 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),BF2220,"This course provides an intermediate study on the subject of wealth management and contemporary personal financial management. Students will learn and experience current macroeconomic analysis and its application. The course will touch on more complex wealth management topics such as trusts, estate planning and private banking. By the end of the course, students will be technically competent to put together their own personal financial plan. Students looking to a career in Wealth Management/Private Banking will find the knowledges and frameworks taught to be immediately applicable."
15,BF2207,INTERNATIONAL FINANCE,4.0 AU,NA,No,Letter Graded,AB1201 OR RE8005 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),"BF2204, BU9203",This course is an introduction to international finance. The course serves to equip students with the ability to analyse and make managerial decisions in the context of a multinational firm.
16,BF2209,DERIVATIVE SECURITIES,4.0 AU,NA,No,Letter Graded,BF2201,"BF2221, BR2204, BR2210","This course is an introductory course on financial derivatives and derivatives-linked investments. The derivatives covered include forwards, futures, swaps, and options on different underlying assets like stocks, stock indices, commodities, and foreign exchange. Through this course, students will learn the features of various derivatives and how to price, value (calculate the Profit/Loss) and structure them for investment and risk management. Students will also learn basic and slightly more advance option strategies and how to use them for hedging and trading. They will be able to design arbitrage strategies to take advantage of mispricing in various derivatives. A good understanding of derivatives and its usage/abuses is a prerequisite for effective management of any company as financial risks can cause substantial damage to the P/L of an otherwise well managed firm. Graduates with solid grounding in derivative investments can take up careers as traders, derivatives specialists/advisors, derivatives sales experts, financial engineers and risk managers in treasury departments, trading floors, asset management and risk management divisions in banks and major corporates. On an individual level, understanding of derivatives will help one to appreciate the risk and rewards in the many derivatives-linked investments now increasingly made available to retail investors."
17,BF3201,CORPORATE FINANCE & STRATEGY,4.0 AU,NA,No,Letter Graded,AB1201 OR RE8005 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),BF3215,"The course covers fundamental issues of corporate finance, including corporate governance, capital budgeting, capital structure, distribution policies, and working capital management. The course emphasizes financial practices in the real world. The course expands upon the concepts covered in AB1201 Financial Management. We emphasize using EXCEL to conduct computation. The background knowledge is provided through the textbook and lecture notes. By the end of the course, you should have developed a deeper understanding of how corporate financial managers make decisions in the dynamic corporate world and how these decisions impact firm value and stakeholders. The course is intended for students who are interested in pursuing a career in strategic financial decision making, including corporate finance, investment banking, private equity, consulting, etc."
18,BF3204,FINANCIAL MODELLING,4.0 AU,NA,No,Letter Graded,BF2201,BF3218,"This course reviews, advances, and applies the principles taught in prior introductory courses in finance. It takes a hands-on approach and provides students with ample opportunities to apply numerical and statistical analysis, table and graphical presentations, and database analysis. It exclusively uses MS Excel as a main tool for computing and analysis. After the completion of the course, you should be equipped with a strong foundation of finance and quantitative skills. The course benefits students who wish to become a quantitative financial analyst."
19,BF3207,ALTERNATIVE INVESTMENTS,4.0 AU,NA,No,Letter Graded,BF2201,BF3219,"Alternative investments include a wide variety of assets which include hedge funds, private equity, real estate, and commodities. We will start with a review of relevant subjects, such as statistics and portfolio theory. Afterwards, we will go over the various asset classes, focusing on hedge funds, private equity, and real estate. We will consider investment strategies, management structure, and performance measurement. If time permits, we will also discuss more unconventional assets."
20,BF3901,WEALTH MANAGEMENT INTERNSHIP COURSE,4.0 AU,NA,Yes,Letter Graded,AB1201,,"This course is the capstone course for the AWM Work Study Programme to be taken during the second 20-week internship with DBS, our partner bank for the Applied Wealth Management (AWM) track. It entails students going through one month of training and assessment at DBS at the beginning of the internship to get students ready to be qualified wealth management professionals upon graduation. During the internship, students will also work on a real-world project assigned by DBS. DBS will identify key issues faced by the bank and assign students to work in groups on these issues. The course is intended for final year Applied Wealth Management (AWM) track students who are doing their second 20-week internship with DBS."
21,BF2207,INTERNATIONAL FINANCE,4.0 AU,NA,No,Letter Graded,AB1201 OR RE8005 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),"BF2204, BU9203",This course is an introduction to international finance. The course serves to equip students with the ability to analyse and make managerial decisions in the context of a multinational firm.
22,BF2209,DERIVATIVE SECURITIES,4.0 AU,NA,No,Letter Graded,BF2201,"BF2221, BR2204, BR2210","This course is an introductory course on financial derivatives and derivatives-linked investments. The derivatives covered include forwards, futures, swaps, and options on different underlying assets like stocks, stock indices, commodities, and foreign exchange. Through this course, students will learn the features of various derivatives and how to price, value (calculate the Profit/Loss) and structure them for investment and risk management. Students will also learn basic and slightly more advance option strategies and how to use them for hedging and trading. They will be able to design arbitrage strategies to take advantage of mispricing in various derivatives. A good understanding of derivatives and its usage/abuses is a prerequisite for effective management of any company as financial risks can cause substantial damage to the P/L of an otherwise well managed firm. Graduates with solid grounding in derivative investments can take up careers as traders, derivatives specialists/advisors, derivatives sales experts, financial engineers and risk managers in treasury departments, trading floors, asset management and risk management divisions in banks and major corporates. On an individual level, understanding of derivatives will help one to appreciate the risk and rewards in the many derivatives-linked investments now increasingly made available to retail investors."
23,BF3201,CORPORATE FINANCE & STRATEGY,4.0 AU,NA,No,Letter Graded,AB1201 OR RE8005 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),BF3215,"The course covers fundamental issues of corporate finance, including corporate governance, capital budgeting, capital structure, distribution policies, and working capital management. The course emphasizes financial practices in the real world. The course expands upon the concepts covered in AB1201 Financial Management. We emphasize using EXCEL to conduct computation. The background knowledge is provided through the textbook and lecture notes. By the end of the course, you should have developed a deeper understanding of how corporate financial managers make decisions in the dynamic corporate world and how these decisions impact firm value and stakeholders. The course is intended for students who are interested in pursuing a career in strategic financial decision making, including corporate finance, investment banking, private equity, consulting, etc."
24,BF3204,FINANCIAL MODELLING,4.0 AU,NA,No,Letter Graded,BF2201,BF3218,"This course reviews, advances, and applies the principles taught in prior introductory courses in finance. It takes a hands-on approach and provides students with ample opportunities to apply numerical and statistical analysis, table and graphical presentations, and database analysis. It exclusively uses MS Excel as a main tool for computing and analysis. After the completion of the course, you should be equipped with a strong foundation of finance and quantitative skills. The course benefits students who wish to become a quantitative financial analyst."
25,BF3207,ALTERNATIVE INVESTMENTS,4.0 AU,NA,No,Letter Graded,BF2201,BF3219,"Alternative investments include a wide variety of assets which include hedge funds, private equity, real estate, and commodities. We will start with a review of relevant subjects, such as statistics and portfolio theory. Afterwards, we will go over the various asset classes, focusing on hedge funds, private equity, and real estate. We will consider investment strategies, management structure, and performance measurement. If time permits, we will also discuss more unconventional assets."
26,BF3901,WEALTH MANAGEMENT INTERNSHIP COURSE,4.0 AU,NA,Yes,Letter Graded,AB1201,,"This course is the capstone course for the AWM Work Study Programme to be taken during the second 20-week internship with DBS, our partner bank for the Applied Wealth Management (AWM) track. It entails students going through one month of training and assessment at DBS at the beginning of the internship to get students ready to be qualified wealth management professionals upon graduation. During the internship, students will also work on a real-world project assigned by DBS. DBS will identify key issues faced by the bank and assign students to work in groups on these issues. The course is intended for final year Applied Wealth Management (AWM) track students who are doing their second 20-week internship with DBS."
