,Course Code,Course Name,Academic Units,Faculty,BDE,Grade Type,Prerequisites,Mutually Exclusive,Course Information
0,DA2004,EXHIBITION DESIGN,3.0,ADM,Yes,Letter Graded,,,This studio-based course is an introduction to design principles and methodologies that are relevant to exhibition making today. It exposes you to art galleries and museum environments and it is designed to develop an understanding of the synergy between designing in space and forming interpretative narratives. You will also learn how to present artworks in space and articulate their meaning.
1,DD1003,INTRODUCTION TO THE HISTORIES OF ART I: WESTERN ART HISTORY,3.0,ADM,Yes,Letter Graded,,,"This foundation level course will introduce you to the major western artists, art works and art movements that have influenced aspects of world art, design and society. You will have the opportunity to explore and engage with the concepts and principles embedded in western art history that will inform your future creative thinking in design, media and the creative industry. You will develop and apply your academic reading and writing abilities through independent research, critical thinking, oral presentations, written tests and assignments. This will provide a solid theoretical foundation for further studies in art and design."
2,DD3016,HISTORY OF DESIGN,3.0,ADM,Yes,Letter Graded,,,"This introductory course covers key movements and events in the evolution of Interaction Design, Product Design and Visual Communication. In Interaction Design, you will survey the work and ideas of artists and designers who have explored interactive media, as well as the scientists, engineers and mathematicians who have developed information technologies. You will study the histories of certain technologies which have come to define the medium of personal computer and human-computer interaction. For Product Design, you will explore how design trends and movements are formed in the contexts of history, emphasizing human relationships between designed objects, visual imageries, art & design movements, science, technology, culture and society. In Visual Communication, you will gain a historical awareness of graphic design and its relationship to technology and industry practice. You will analyse design and designers from various eras through practice and theoretical research projects. This course will equip you with a solid foundation in design history and theory, and inform further study in contemporary design practice."
3,DF2002,SURVEY OF EXPERIMENTAL FILM,3.0,ADM,Yes,Letter Graded,,,"This lecture course will introduce you to the history and diversity of experimental filmmaking. By comparing and contrasting different developments and formats of filmic experiments you will be able to gain a deeper insight in the development of different forms and artistic strategies, develop skills for a critical approach to film in general and relate specific ideas from the experimental field to the dynamics in classical narrative cinema. This means that you will learn to analyse experimental film forms, relate the specific knowledge to other contexts, and apply these methods to other filmic concepts and theories. This learning will give a historical and theoretical basis for practical film-making projects, as well as future research in Film Studies."
4,DF2005,WRITING FOR FILM,3.0,ADM,Yes,Letter Graded,,,"This course is designed to introduce you to fiction film screenwriting. It covers the professional practice of developing, writing and rewriting short film scripts in a collaborative, workshop environment. Upon completing this course, you will have significantly developed your practice in preparation for future screenwriting projects."
5,DF2009,HISTORY OF WORLD CINEMA,3.0,ADM,Yes,Letter Graded,,DF2004,"This is an introductory-level course that surveys the historical context of cinema from its inception in the silent era, through to the current era, with a special focus on Asian cinema and its forms. You will examine how changing political, social, and cultural discourses have affected film production practices for Asian filmmakers, and explore identity politics in the age of globalized cultural production. You will then apply critical analysis and academic research of specific films and/or national cinema in Asia. This learning will form the foundation for further studies in theories and practices of film studies and well as give contextual knowledge to your own film projects."
6,DP2002,HISTORY OF PHOTOGRAPHY,3.0,ADM,Yes,Letter Graded,,,"This open elective course will provide an overview of the evolution of the photographic medium over two hundred years from earliest invention to contemporary innovations. In this course you will examine the emergence of photographic traditions and practices within the context of artistic, cultural, social, scientific, and philosophical forces that shaped particular directions in the medium?s development. This course highlights the development of photography as the first media art and is highly relevant to students pursuing the Photographic pathway in Media Arts."
7,DT2007,"HISTORY & CULTURE OF ANIMATION, VFX & GAME",3.0,ADM,Yes,Letter Graded,,,"In this introductory-level course you will receive a chronological and thematic overview of the history and development of animation through the 20th century. Emphasis will be given to significant animation milestones, with comparative analysis of international and regional, studio and independent, commercial and artistic examples. This course provides a valuable contextual background for other studies in animation, narrative studies, film studies and media theory."
8,HL2009,SOUTHEAST ASIAN LITERATURE & CULTURE,3.0,ELH(SOH),Yes,Letter Graded,HL1001,,"HL2009 offers you an introduction to the diverse cultures in Southeast Asia through the study of its artistic output. You will study a variety of texts (prose, poetry, drama, and visual arts) from countries such as Philippines, Malaysia, Thailand, Cambodia, and Vietnam; and through them, learn to be conversant with the history and culture of Southeast Asia. This course also aims to equip with the necessary vocabulary to to respond to a range of artistic mediums. HL2009 is a writing-intensive course that focuses on honing your analytical and writing skills: you will be asked to write short responses to the various texts as well as an extended essay, for which you will be given extensive feedback. You will learn to develop coherent critical written arguments about the texts studied."
9,HL2043,FANTASY LITERATURE,3.0,ELH(SOH),Yes,Letter Graded,HL1001,,"This course seeks to instill in you an understanding of the development of the genre of modern fantasy literature, and of the generic distinctions and theoretical frameworks commonly applied to it. In addition to the predominantly nineteenth-, twentieth- and twenty-first century texts themselves, the course will explore the modern fantasy genre as a product of histories of ideas stretching from centuries past to the present day. With a syllabus spanning from medievalism to modernity via magic, the course welcomes all students interested in exploring the broad genre of fantasy, and the imaginative processes and ideological traditions thereof. In addition to exploring the farthest reaches of the literary imagination, you will also gain - paradoxical though it may seem - an understanding of how these authors and texts negotiate universal themes relating to the realities of human existence, including myth-making, modernisation and the environment."
10,HL3001,FILM THEORY,3.0,ELH(SOH),Yes,Letter Graded,HL1001(Corequisite) OR FL8001 (Min Grade :B),AAR23C,"Does the cinema most resemble the stage, a painting, or a photograph? When is it like poetry? When do we treat it like a novel or short story? What is the relationship between cinema, television, video, digital arts, and other moving images? What sort of machine is it? Is it more like a picture frame, window on the world, mystic writing pad, or a mirror? Does it function like a language, an address, a puzzle, or a provocation? How should we examine it in terms of narrative, apparatus, and ideology? In terms of image and sound, style, genre, the film artist, and audience reception? What is the relationship between the cinema and democracy? These have been the primary questions throughout the history of film theory and will be the key concerns of this module. It seeks to introduce students to the history and debates of film theory from its beginnings to the contemporary period. Students will be exposed to various ways of addressing films and writing about the cinema, including formalist and realist theories, cultural studies approaches to cinema, semiotics, auteur theory, genre and star analysis, ideological critiques, and apparatus theory. Screenings will include examples from early cinema, The Cabinet of Dr. Caligari, Potemkin, Man with a Movie Camera, Bicycle Thieves, Perfumed Nightmare, Battle of Algiers, Citizen Kane, Rear Window, and Weekend."
11,HL3042,GOTHIC LITERATURE,3.0,ELH(SOH),Yes,Letter Graded,HL1001,,"This course will teach you the main characteristics of Gothic literature, as well as the cultural and historical contexts of its development. In addition to this, you will gain an in-depth understanding of some of the main authors associated with Gothic literature and their key texts. Students interested in literary depictions of horror, trauma, fanaticism, paranoia, and guilt should take this course. Students interested in the way historical events have shaped literary culture should also take this course. The main value of this course is that it concentrates on a major genre within literature in English."
12,HL3043,MODERNIST SOUNDSCAPES,3.0,ELH(SOH),Yes,Letter Graded,HL1001,,"While the Western world may not have gotten noisier in the early twentieth century, there is evidence that people perceived the world as noisier. Emily Thompson explains that in the Victorian period the 'sounds that so bothered Carlyle and Goethe were almost identical to those that had been identified by the Buddha centuries earlier: organic sounds created by humans and animals at work and at play' (Soundscape 116). It is not until the early twentieth century, according to Thompson, that machine-generated noises started to impinge upon the everyday lives of people. Called the 'Age of Noise,' the turn of twentieth century was filled with the sounds of auditory technologies (the microphone, radio, telephone, and phonograph), public transportation (the elevated train and subway), World War I, construction, factories, steam locomotives, industrial whistles and bells, machine shops, cash registers, washing machines, sewing machines, vacuum cleaners, typewriters, printing machines, automobiles, trucks, and motorcycles. This course explores how modernist writers represented this soundscape. How did they make their narratives sound out? How did the changing soundscape influence and shape their representations of sound and listening?"
13,HL4014,ADVANCED STUDIES IN FILM,4.0,ELH(SOH),Yes,Letter Graded,HL1001 OR FL8001 (Min Grade :B),,"This course aims to introduce you to a range of challenging films and some general critical tendencies in modern Asian cinema. It also seeks to provide you with a vocabulary to describe the formal effects of cinema. By the end of the semester, you will be conversant with the films studied, with modern Asian cinema as a broad category, and with film as a particular medium with its own history, techniques, and possibilities. This will aid you in developing cultural literacy. In addition, as this is a writing-intensive course, you will also learn to develop coherent critical written arguments about the films studied"
